관리번호,급경사지명,소재지,비고(Note),region,경사도(Slope),곡률(Curvature),거칠기(Roughness),사면향(Aspect),aspect_sin,aspect_cos,S1_transfer,S1_used,Susceptibility,RiskScore,risk_grade5_by_region
1,정선병원지구,정선읍 봉양리 430대,실측값,정선_v2(라벨없음),11.41,-0.27,39.99,178.99,0.01762691251357167,-0.9998446339083082,0.27422624603141177,0.21170485717384357,0.16936388573907488,16.936389,2
2,관음동지구,정선읍 봉양리 510-2 전,실측값,정선_v2(라벨없음),20.8,-0.8,87.61,195.85,-0.27311983686282176,-0.9619800178340637,0.7226303574396211,0.6771727019580643,0.5417381615664515,54.173816,5
3,세대1지구,정선읍 봉양리 485전,실측값,정선_v2(라벨없음),27.34,-0.68,105.35,154.55,0.4297232787322056,-0.9029606324284815,0.7564139937847066,0.7153382793275976,0.5722706234620781,57.227062,5
4,세대6지구,정선읍 봉양리 581전,실측값,정선_v2(라벨없음),14.52,-0.4,68.91,211.19,-0.5178777122574485,-0.8554546599013833,0.7685361811077346,0.7291169283201198,0.5832935426560958,58.329354,5
5,봉양2지구,정선읍 봉양리 산10임,실측값,정선_v2(라벨없음),34.65,0.78,171.71,120.1,0.8651514205697046,-0.501510737159457,0.7054312488189917,0.6578784078226165,0.5263027262580933,52.630273,5
6,세대8지구,정선읍 봉양리 산30임,실측값,정선_v2(라벨없음),24.72,-0.36,106.03,294.18,-0.9122631507322384,0.40960461889008204,0.17977444146466942,0.12754796612522612,0.1020383729001809,10.203837,1
7,봉양5지구,정선읍 봉양리 821-2전,실측값,정선_v2(라벨없음),10.0,-0.93,57.03,102.83,0.9750332181174115,-0.22205905423468852,0.8025741576571698,0.7680371121099365,0.6144296896879493,61.442969,5
8,세대7지구,정선읍 봉양리 산66-1임,실측값,정선_v2(라벨없음),15.89,-0.11,70.3,231.12,-0.7784623015670236,-0.6276913612907002,0.7793608365357324,0.7414575538469845,0.5931660430775877,59.316604,5
9,봉양3지구,정선읍 봉양리 861전,실측값,정선_v2(라벨없음),40.04,0.73,179.13,121.83,0.8496166630887036,-0.5274007260158221,0.43498353661476047,0.3682708837081484,0.29461670696651876,29.461671,3
10,북실지구,정선읍 북실리 산3-14 도,실측값,정선_v2(라벨없음),14.79,-0.11,51.63,358.94,-0.018499434734501462,0.9998288708146529,0.952035900758356,0.9427227568213443,0.7541782054570755,75.417821,5
